Name:                  Com %   Passes   Yards   Touchdowns   Interceptions
=================      =====   ======   =====   ==========   =============
Sue Age                 63.0      670    5177           43              19
Perry Anthrust          65.6      648    4903           28              19
Kandi Apple             67.4      651    4515           26              17
Tom Ato                 63.0      637    4827           34               8
Tony Award              58.3      278    1662            9               6
Thro Bal                60.8      265    1699            6               5
David Bauder            56.7      666    3487           30               5
Barry Berry             53.9      308    2084           11              11
Amir Blumenfeld         67.5      567    3454           34              34
Brady Bunch             56.4      314    2176           10              11
Phteven Buoy            68.3      659    5477           55              10
David Butters           59.9      536    3948           26              15
Shawn Carter            67.3      456    9096           45               3
Liam Clift              63.3      572    4274           24              22
Horace Cope             63.1      355    2621           19              12
Suri Cruise             66.6      290    2536           17               6
Wayne Dear              54.1      627    4374           23              18
Dan Delion              58.1      351    2362           12              10
Kahn Demendums          60.7      262    1687           14               4
Io Dine                 68.6      615    4719           32              14
Bill Ding               60.5      628    4343           25              11
Dan Druff               68.6      583    4659           37              11
Onlya Fewleft           62.4      221    1367            7               5
Juana Fight             64.1      393    3118           26              10
Hugo First              61.1      565    4018           22              14
James Gang              65.6      393    3200           20               5
Hy Gene                 60.6      508    3313           23               7
Ima Good                58.1      277    1796            6              12
Omar Gosh               63.6      239    1648            7               9
Marty Graw              58.8      306    1972           11               9
Zola Ivy                66.5      224    1829           13               1
Candy Kane              58.5      634    4650           29              19
Lee King                63.3      449    3265           26               8
Myles Long              60.6      503    3241           13              14
Utta Mann               57.4      272    1798            7              11
Walter Melon            60.4      588    3913           24              17
Owen Money              54.2      253    1760            9               6
Sage Moonblood          63.1      407    3357           26               9
Lon Mower               54.3      453    2883           13              18
Jim Nasium              52.8      267    1731            9               9
Aye nevaplay             0.0        0       0            0               0
Di O'Bolic              61.7      473    3379           24              13
Mac O'Roni              54.8      558    4065           27              17
Luke Out                62.1      483    2935           18              12
Best Playa              25.0        4      17            0               1
Jack Pott               61.2      358    2310           10              14
Will Power              62.0      350    2454           14              12
Sue Purb                60.1      456    3203           16              12
Orvin Ramos             60.2      570    3822           23               9
John Rayne              67.3      667    1246           34               1
Zack Religious          60.2      254    1807           11               9
Ward Robe               67.2      552    4295           39               8
Mike Rofone             58.3      484    3294           12              13
Sunday Rose             68.6      650    5162           39              12
Titus Shoelaces         57.7      485    3869           19              12
Bob Sled                60.6      505    3400           24              16
Uriel Smart             55.8      443    3046           12              21
Ginger Snap             59.0      614    3912           19              22
Dee Stroyer             61.9      586    4293           33              20
Isa Sub                 52.9       17      79            1               0
Otto Teller             57.4      517    3385           14              17
Rufus Tiger             64.2      584    4261           28              14
Justin Time             57.5      551    3818           18              27
Barry Tone              64.1      527    3606           26              15
Quinn Tuplets           58.7      242    1673            8               7
Lee Ving                62.3      528    3669           27              16
Luke Warm               59.7      531    3817           22              10
Your Welcum             52.0      171     752            0               7
Kanye West              59.5      551    3702           21              13
Tallulah Willis         69.5      544    4478           32              11
Sadie Word              59.4      416    2608           19               9
Monte Zuma              64.3      544    4008           22              12
